Time,Num Task Set,Num Tasks,Time running,Cpu utilization
361,200,15000,14885.8,0.00202607
362,200,15000,14901.7,0.00202607
363,200,15000,14850.3,0.00202607
364,200,15000,14869.3,0.00202607
365,200,15000,14850.7,0.00202607
366,200,15000,14865.9,0.00202607
367,200,15000,14915.6,0.00202607
368,200,15000,15323.5,0.00202607
369,200,15000,15354.4,0.00202607
370,200,15000,15381.3,0.00202607
371,200,15000,15199.9,0.00202607
372,200,15000,15141.9,0.00202607
373,200,15000,15122.4,0.00202607
374,200,15000,15119.8,0.00202607
375,200,15000,14950.1,0.00202607
376,200,15000,14980.8,0.00202607
377,200,15000,14985.3,0.00202607
378,200,15000,14962.2,0.00202607
379,200,15000,14921.3,0.00202607
380,200,15000,14922.9,0.00202607
381,200,15000,14875.2,0.00202607
382,200,15000,14826.1,0.00202607
383,200,15000,15117,0.00202607
384,200,15000,15254.9,0.00202607
385,200,15000,15226,0.00202607
386,200,15000,15211.7,0.00202607
387,200,15000,14903.9,0.00202607
388,200,15000,14918.3,0.00202607
389,200,15000,14876.6,0.00202607
390,200,15000,14899.9,0.00202607
391,200,15000,14883.2,0.00202607
392,200,15000,14879.5,0.00202607
393,200,15000,14936.2,0.00202607
394,200,15000,14947.5,0.00202607
395,200,15000,14899.4,0.00202607
396,200,15000,14780.5,0.00202607
397,200,15000,14725.5,0.00202607
398,200,15000,14797.2,0.00202607
399,200,15000,15198.6,0.00202607
400,200,15000,15182,0.00202607
401,200,15000,14970.4,0.00202607
402,200,15000,14765.2,0.00202607
403,200,15000,14773,0.00202607
404,200,15000,14747.1,0.00202607
405,200,15000,14763,0.00202607
406,200,15000,14773.8,0.00202607
407,200,15000,14783.9,0.00202607
408,200,15000,14787.3,0.00202607
409,200,15000,14760.2,0.00202607
410,200,15000,14635.5,0.00202607
411,200,15000,14419.7,0.00202607
412,200,15000,14567.3,0.00202607
413,200,15000,14479.1,0.00202607
414,200,15000,14524.3,0.00202607
415,200,15000,14427.1,0.00202607
416,200,15000,14462.2,0.00202607
417,200,15000,14415,0.00202607
418,200,15000,14461.1,0.00202607
419,200,15000,14420,0.00202607
420,200,15000,14477,0.00202607
421,200,15000,14432,0.00202607
422,200,15000,14468.9,0.00202607
423,200,15000,14412.3,0.00202607
424,200,15000,14391.9,0.00202607
425,200,15000,14591.6,0.00202607
426,200,15000,14647,0.00202607
427,200,15000,14697,0.00202607
428,200,15000,14758.4,0.00202607
429,200,15000,14679.4,0.00202607
430,200,15000,14609.2,0.00202607
431,200,15000,14506.6,0.00202607
432,200,15000,14455.5,0.00202607
433,200,15000,14434.2,0.00202607
434,200,15000,14392.4,0.00202607
435,200,15000,14491.9,0.00202607
436,200,15000,14502.9,0.00202607
437,200,15000,14513.5,0.00202607
438,200,15000,14377.6,0.00202607
439,200,15000,14497.6,0.00202607
440,200,15000,14418.8,0.00202607
441,200,15000,14448.7,0.00202607
442,200,15000,14384.2,0.00202607
443,200,15000,14517.5,0.00202607
444,200,15000,14417.3,0.00202607
445,200,15000,14399.2,0.00202607
446,200,15000,14428.5,0.00202607
447,200,15000,14581.2,0.00202607
448,200,15000,14405,0.00202607
449,200,15000,14559.9,0.00202607
450,200,15000,14644,0.00202607
451,200,15000,14911.8,0.00202607
452,200,15000,14648.5,0.00202607
453,200,15000,14706.5,0.00202607
454,200,15000,14426.7,0.00202607
455,200,15000,14453.3,0.00202607
456,200,15000,14400.2,0.00202607
457,200,15000,14409.3,0.00202607
458,200,15000,14409.3,0.00202607
459,200,15000,14496.6,0.00202607
460,200,15000,14382.3,0.00202607
461,200,15000,14473.4,0.00202607
462,200,15000,14414.4,0.00202607
463,200,15000,14515.8,0.00202607
464,200,15000,14387.4,0.00202607
465,200,15000,14440.4,0.00202607
466,200,15000,14387.3,0.00202607
467,200,15000,14486.1,0.00202607
468,200,15000,14538.2,0.00202607
469,200,15000,14474.4,0.00202607
470,200,15000,14400.8,0.00202607
471,200,15000,14435.4,0.00202607
472,200,15000,14587.2,0.00202607
473,200,15000,14621.3,0.00202607
474,200,15000,14612,0.00202607
475,200,15000,14587.7,0.00202607
476,200,15000,14667.1,0.00202607
477,200,15000,14689.5,0.00202607
478,200,15000,14422.7,0.00202607
479,200,15000,14388.7,0.00202607
480,200,15000,14445.2,0.00202607
481,200,15000,14398.4,0.00202607
482,200,15000,14414.3,0.00202607
483,200,15000,14373.7,0.00202607
484,200,15000,14914.9,0.00202607
485,200,15000,14509.7,0.00202607
486,200,15000,14456.9,0.00202607
487,200,15000,14383.8,0.00202607
488,200,15000,14584,0.00202607
489,200,15000,14549.1,0.00202607
490,200,15000,14570.8,0.00202607
491,200,15000,14509.9,0.00202607
492,200,15000,14679.1,0.00202607
493,200,15000,14452.6,0.00202607
494,200,15000,14400.3,0.00202607
495,200,15000,14487,0.00202607
496,200,15000,14714.1,0.00202607
497,200,15000,14575.9,0.00202607
498,200,15000,14590.8,0.00202607
499,200,15000,14627.7,0.00202607
500,200,15000,14540.4,0.00202607
501,200,15000,14376.4,0.00202607
502,200,15000,14358.9,0.00202607
503,200,15000,14373.8,0.00202607
504,200,15000,14433,0.00202607
505,200,15000,14387.1,0.00202607
506,200,15000,14402.3,0.00202607
507,200,15000,14339,0.00202607
